run_group,subset,instances,table,first_method,second_method,paired_window_sizes,first_mean_rmse,first_median_rmse,second_mean_rmse,change_of_mean_rmse_pct,wins,ties,losses,wilcoxon_p,holm_p,cliff_delta
7,10%,966,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,5,0.014315,,0.019389,-26.17,4,0,1,0.1250,1.0000,0.600
7,10%,966,centroid_pooled_vs_random,Centroid Pooled,Random,6,0.016825,,0.039536,-57.44,6,0,0,0.0312,0.3125,1.000
7,20%,966,baseline_rmse,Random,,6,0.026303,0.026290,,,,,,,,
7,20%,966,baseline_rmse,Diff-Strat,,6,0.014753,0.014409,,,,,,,,
7,20%,966,baseline_rmse,Consist-Strat,,5,0.012708,0.012610,,,,,,,,
7,20%,966,baseline_rmse,Repo-Strat,,6,0.038566,0.038369,,,,,,,,
7,20%,966,baseline_rmse,Repo×Diff,,6,0.049286,0.049786,,,,,,,,
7,20%,966,baseline_rmse,Repo×Consist,,5,0.068920,0.068197,,,,,,,,
7,20%,966,consist_strat_vs_baseline,Consist-Strat,Random,5,0.012708,,0.025996,-51.12,5,0,0,0.0625,0.3125,1.000
7,20%,966,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,5,0.012708,,0.014404,-11.77,5,0,0,0.0625,0.3125,1.000
7,20%,966,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,5,0.012708,,0.038967,-67.39,5,0,0,0.0625,0.3125,1.000
7,20%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,5,0.012708,,0.048375,-73.73,5,0,0,0.0625,0.3125,1.000
7,20%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,5,0.012708,,0.068920,-81.56,5,0,0,0.0625,0.3125,1.000
7,20%,966,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,5,0.006787,,0.012708,-46.59,5,0,0,0.0625,0.6250,1.000
7,20%,966,centroid_pooled_vs_random,Centroid Pooled,Random,6,0.008858,,0.026303,-66.32,6,0,0,0.0312,0.3125,1.000
7,30%,966,baseline_rmse,Random,,6,0.020079,0.020199,,,,,,,,
7,30%,966,baseline_rmse,Diff-Strat,,6,0.011202,0.010892,,,,,,,,
7,30%,966,baseline_rmse,Consist-Strat,,5,0.009660,0.009556,,,,,,,,
7,30%,966,baseline_rmse,Repo-Strat,,6,0.025463,0.025659,,,,,,,,
7,30%,966,baseline_rmse,Repo×Diff,,6,0.029745,0.029530,,,,,,,,
7,30%,966,baseline_rmse,Repo×Consist,,5,0.036968,0.036521,,,,,,,,
7,30%,966,consist_strat_vs_baseline,Consist-Strat,Random,5,0.009660,,0.020031,-51.77,5,0,0,0.0625,0.3125,1.000
7,30%,966,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,5,0.009660,,0.010862,-11.07,5,0,0,0.0625,0.3125,1.000
7,30%,966,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,5,0.009660,,0.025699,-62.41,5,0,0,0.0625,0.3125,1.000
7,30%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,5,0.009660,,0.029590,-67.35,5,0,0,0.0625,0.3125,1.000
7,30%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,5,0.009660,,0.036968,-73.87,5,0,0,0.0625,0.3125,1.000
7,30%,966,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,5,0.004964,,0.009660,-48.61,5,0,0,0.0625,0.6250,1.000
7,30%,966,centroid_pooled_vs_random,Centroid Pooled,Random,6,0.006040,,0.020079,-69.92,6,0,0,0.0312,0.3125,1.000
8,5%,602,baseline_rmse,Random,,7,0.072924,0.073260,,,,,,,,
8,5%,602,baseline_rmse,Diff-Strat,,7,0.040727,0.039647,,,,,,,,
8,5%,602,baseline_rmse,Consist-Strat,,6,0.036806,0.036390,,,,,,,,
8,5%,602,baseline_rmse,Repo-Strat,,7,0.062148,0.061798,,,,,,,,
8,5%,602,baseline_rmse,Repo×Diff,,7,0.126547,0.129782,,,,,,,,
8,5%,602,baseline_rmse,Repo×Consist,,6,0.148132,0.149710,,,,,,,,
8,5%,602,consist_strat_vs_baseline,Consist-Strat,Random,6,0.036806,,0.072336,-49.12,6,0,0,0.0312,0.1562,1.000
